scrutin_ref,senateur_ref,position
senat-2020-3,08060W,pour
senat-2020-3,20088L,pour
senat-2020-3,20114U,pour
senat-2020-3,20080C,pour
senat-2020-3,20060X,pour
senat-2020-3,12028B,pour
senat-2020-3,19295A,pour
senat-2020-3,11027H,pour
senat-2020-3,20070A,pour
senat-2020-3,19525U,pour
senat-2020-3,11065P,pour
senat-2020-3,19251M,pour
senat-2020-3,20134Y,pour
senat-2020-3,14151M,pour
senat-2020-3,11074Q,pour
senat-2020-3,11110B,pour
senat-2020-3,19647E,pour
senat-2020-3,14281W,pour
senat-2020-3,20100N,pour
senat-2020-3,08045X,pour
senat-2020-3,19599P,pour
senat-2020-3,19820Y,pour
senat-2020-3,19347U,pour
senat-2020-3,19725B,pour
senat-2020-3,19333N,pour
senat-2020-3,19551W,pour
senat-2020-3,19715Y,pour
senat-2020-3,14121F,pour
senat-2020-3,19531S,pour
senat-2020-3,19683J,pour
senat-2020-3,14097Y,pour
senat-2020-3,14021P,pour
senat-2020-3,19489J,pour
senat-2020-3,19649G,pour
senat-2020-3,11099A,pour
senat-2020-3,11026G,pour
senat-2020-3,18193Q,pour
senat-2020-3,08017T,pour
senat-2020-3,08012N,pour
senat-2020-3,17779H,pour
senat-2020-3,12016W,pour
senat-2020-3,11104D,pour
senat-2020-3,20142Y,pour
senat-2020-3,14001X,pour
senat-2020-3,20028X,pour
senat-2020-3,11067R,pour
senat-2020-3,20018V,pour
senat-2020-3,14109K,pour
senat-2020-3,14257W,pour
senat-2020-3,20036X,pour
senat-2020-3,20030R,pour
senat-2020-3,20130U,pour
senat-2020-3,17965H,pour
senat-2020-3,19503N,pour
senat-2020-3,14225N,pour
senat-2020-3,20082E,pour
senat-2020-3,14229S,pour
senat-2020-3,11054L,pour
senat-2020-3,11045K,pour
senat-2020-3,20092G,pour
senat-2020-3,20084G,pour
senat-2020-3,01028R,pour
senat-2020-3,19689Q,pour
